program,level,year,approved_intake,enrolled,passed,placed,institutions,girls,boys,faculties
Engineering and Technology,UG,2012-13,1548654,966203,656778,272843,3364,320284,645913,215385
Engineering and Technology,UG,2013-14,1634408,944543,712657,295552,3384,260050,684342,301841
Engineering and Technology,UG,2014-15,1705437,875415,760833,336007,3400,240179,635058,389711
Engineering and Technology,UG,2015-16,1631420,855163,788835,362385,3364,238347,616665,403786
Engineering and Technology,UG,2016-17,1557470,786075,801591,364228,3293,228165,557797,406980
Engineering and Technology,UG,2017-18,1476128,750605,754834,343946,3224,219774,530573,406927
Engineering and Technology,UG,2018-19,1404640,722269,758754,396625,3124,212320,509643,338193
Engineering and Technology,UG,2019-20,1329339,740881,635667,398047,3050,217171,524016,397582
Engineering and Technology,UG,2020-21,1286725,719394,130918,357298,2978,213408,500074,409412
Engineering and Technology,UG,2021-22,1253337,826249,484317,426114,2897,231435,500088,
Engineering and Technology,UG,2022-23,1270482,31265,0,42299,2857,8431,16043,
Engineering and Technology,PG,2012-13,138242,101498,52689,13053,1908,42560,58938,34140
Engineering and Technology,PG,2013-14,181583,126749,70096,17182,2158,51979,74770,45110
Engineering and Technology,PG,2014-15,215550,122662,84250,22977,2338,50014,72648,54213
Engineering and Technology,PG,2015-16,207397,90305,86621,22913,2306,37167,53138,53509
Engineering and Technology,PG,2016-17,197202,69399,70600,19319,2236,27607,41792,47426
Engineering and Technology,PG,2017-18,186042,68696,57916,15934,2138,26847,41828,40860
Engineering and Technology,PG,2018-19,182204,66934,53818,17615,2066,26104,40575,25551
Engineering and Technology,PG,2019-20,168660,62748,42888,18156,1965,23097,39809,20132
Engineering and Technology,PG,2020-21,147669,61999,9814,15828,1864,22314,39233,17463
Engineering and Technology,PG,2021-22,136978,48591,28484,18048,1819,16998,30312,
Engineering and Technology,PG,2022-23,130277,1291,0,1539,1781,445,808,
Engineering and Technology,DIPLOMA,2012-13,1008347,683338,362734,126037,3059,199482,483834,57453
Engineering and Technology,DIPLOMA,2013-14,1136289,728992,407546,142816,3437,113142,615850,78843
Engineering and Technology,DIPLOMA,2014-15,1262028,741705,424917,155400,3800,112286,629418,114007
Engineering and Technology,DIPLOMA,2015-16,1255749,733487,451797,162024,3851,117131,616289,120911
Engineering and Technology,DIPLOMA,2016-17,1244862,705708,533493,178465,3925,114368,591306,121216
Engineering and Technology,DIPLOMA,2017-18,1208518,667826,457112,194997,3918,109882,557906,133914
Engineering and Technology,DIPLOMA,2018-19,1125034,627762,447399,203660,3779,104805,522923,119961
Engineering and Technology,DIPLOMA,2019-20,1043513,607615,385153,202586,3709,104094,504140,38835
Engineering and Technology,DIPLOMA,2020-21,1008244,512789,54072,186831,3662,91280,418506,32713
Engineering and Technology,DIPLOMA,2021-22,976955,494866,309261,195623,3592,79829,375609,
Engineering and Technology,DIPLOMA,2022-23,969072,28654,0,28868,3576,5048,21309,
Management,PG,2012-13,442922,236782,179615,95142,3861,90552,146227,38737
Management,PG,2013-14,450866,234460,186156,103311,3740,80318,154106,49757
Management,PG,2014-15,454917,248352,186498,104538,3586,87835,160479,57477
Management,PG,2015-16,431728,250226,186744,101809,3449,93186,157040,55434
Management,PG,2016-17,411826,234779,185059,106688,3334,92201,142503,53888
Management,PG,2017-18,393043,238205,179687,106315,3233,96267,141927,53605
Management,PG,2018-19,372339,236521,186527,115601,3084,99943,136563,43555
Management,PG,2019-20,371850,243367,164291,119652,3036,104484,140038,43116
Management,PG,2020-21,385541,245565,31673,104338,3084,101754,143071,44552
Management,PG,2021-22,403202,238617,141101,119517,3107,99178,136328,
Management,PG,2022-23,420236,23210,0,16416,3133,9059,13681,
MCA,PG,2012-13,131968,55056,51179,21536,1736,23134,31876,18357
MCA,PG,2013-14,122884,41690,51588,21931,1568,18086,23579,21196
MCA,PG,2014-15,116216,35979,52038,23225,1460,16002,19958,21932
MCA,PG,2015-16,107061,35112,45059,20536,1345,16134,19009,19445
MCA,PG,2016-17,94159,32789,37518,17576,1233,15195,17594,17910
MCA,PG,2017-18,85164,31382,33493,15811,1159,14564,16818,16909
MCA,PG,2018-19,73653,29387,33655,17498,1064,13632,15755,12784
MCA,PG,2019-20,64114,30195,29613,17480,1023,13543,16697,11676
MCA,PG,2020-21,66424,45154,5508,16274,1011,19428,25212,11188
MCA,PG,2021-22,70251,50010,26551,21692,1027,20745,28857,
MCA,PG,2022-23,80487,2799,0,3298,1087,1086,1713,
Pharmacy,UG,2012-13,84561,53941,35543,13893,1036,24670,29271,13325
Pharmacy,UG,2013-14,86454,52802,34156,13651,1031,22878,29924,17763
Pharmacy,UG,2014-15,88999,54914,35179,14404,1023,23173,31741,21555
Pharmacy,UG,2015-16,86980,58627,37209,14853,1027,25659,32968,22233
Pharmacy,UG,2016-17,84842,62021,40436,17591,1035,26738,35283,20814
Pharmacy,UG,2017-18,87306,68594,42625,19011,1080,29735,38859,24877
Pharmacy,UG,2018-19,94841,77571,37998,21142,1218,32040,45531,26960
Pharmacy,UG,2019-20,124649,75508,26799,18996,1609,31197,46516,37435
Pharmacy,UG,2020-21,81431,49747,5186,13079,1010,20875,28446,31353
Pharmacy,UG,2021-22,55141,38456,24388,14397,661,15405,21618,
Pharmacy,UG,2022-23,54680,2199,0,2275,646,871,1247,
Architecture,UG,2012-13,,,,,0,,,0
Architecture,UG,2013-14,,,,,0,,,0
Architecture,UG,2014-15,,,,,0,,,0
Architecture,UG,2015-16,9917,4726,2482,816,112,2396,2330,
Architecture,UG,2016-17,8937,4699,2823,1088,110,2352,2347,482
Architecture,UG,2017-18,8436,3867,3245,1297,111,1993,1874,1211
Architecture,UG,2018-19,9786,5550,3693,1847,133,2938,2612,2859
Architecture,UG,2019-20,,,,,0,,,0
Architecture,UG,2020-21,,,,,0,,,0
Architecture,UG,2021-22,,,,,0,,,0
Architecture,UG,2022-23,,,,,0,,,0
Hotel Management and Catering,UG,2012-13,6280,2938,2328,1652,80,419,2519,1186
Hotel Management and Catering,UG,2013-14,6520,3351,2285,1778,81,369,2982,1349
Hotel Management and Catering,UG,2014-15,6340,3918,2219,1721,77,461,3457,1478
Hotel Management and Catering,UG,2015-16,6268,4147,2209,1654,76,569,3578,1461
Hotel Management and Catering,UG,2016-17,6043,4036,2659,1846,74,584,3452,1442
Hotel Management and Catering,UG,2017-18,5965,4261,2491,2061,75,659,3602,1367
Hotel Management and Catering,UG,2018-19,5709,4010,2642,2221,73,604,3406,1220
Hotel Management and Catering,UG,2019-20,6454,3808,2238,2026,78,713,3095,1441
Hotel Management and Catering,UG,2020-21,6972,2844,811,1725,79,494,2350,1501
Hotel Management and Catering,UG,2021-22,7672,2649,1906,1922,88,590,2057,
Hotel Management and Catering,UG,2022-23,7752,248,0,306,91,44,186,
