state,level,gender,out_turn
Madhya Pradesh,M.Phil.,Male,52
Madhya Pradesh,M.Phil.,Female,85
Madhya Pradesh,M.Phil.,Total,137
Madhya Pradesh,Post Graduate,Male,59998
Madhya Pradesh,Post Graduate,Female,76021
Madhya Pradesh,Post Graduate,Total,136019
Madhya Pradesh,Under Graduate,Male,268944
Madhya Pradesh,Under Graduate,Female,248424
Madhya Pradesh,Under Graduate,Total,517368
Madhya Pradesh,PG Diploma,Male,13219
Madhya Pradesh,PG Diploma,Female,12847
Madhya Pradesh,PG Diploma,Total,26066
Madhya Pradesh,Diploma,Male,45563
Madhya Pradesh,Diploma,Female,33307
Madhya Pradesh,Diploma,Total,78870
Madhya Pradesh,Certificate,Male,611
Madhya Pradesh,Certificate,Female,294
Madhya Pradesh,Certificate,Total,905
Madhya Pradesh,Integrated,Male,2434
Madhya Pradesh,Integrated,Female,2168
Madhya Pradesh,Integrated,Total,4602
Maharashtra,Ph.D.,Male,1310
Maharashtra,Ph.D.,Female,852
Maharashtra,Ph.D.,Total,2162
Maharashtra,M.Phil.,Male,101
Maharashtra,M.Phil.,Female,104
Maharashtra,M.Phil.,Total,205
Maharashtra,Post Graduate,Male,88237
Maharashtra,Post Graduate,Female,101105
Maharashtra,Post Graduate,Total,189342
Maharashtra,Under Graduate,Male,485702
Maharashtra,Under Graduate,Female,403376
Maharashtra,Under Graduate,Total,889078
Maharashtra,PG Diploma,Male,7498
Maharashtra,PG Diploma,Female,6400
Maharashtra,PG Diploma,Total,13898
Maharashtra,Diploma,Male,58598
Maharashtra,Diploma,Female,34721
Maharashtra,Diploma,Total,93319
Maharashtra,Certificate,Male,6057
Maharashtra,Certificate,Female,3133
Maharashtra,Certificate,Total,9190
Maharashtra,Integrated,Male,1924
Maharashtra,Integrated,Female,1932
Maharashtra,Integrated,Total,3856
Manipur,Ph.D.,Male,55
Manipur,Ph.D.,Female,52
Manipur,Ph.D.,Total,107
Manipur,M.Phil.,Male,1
Manipur,M.Phil.,Female,5
Manipur,M.Phil.,Total,6
Manipur,Post Graduate,Male,870
Manipur,Post Graduate,Female,1269
Manipur,Post Graduate,Total,2139
Manipur,Under Graduate,Male,10261
Manipur,Under Graduate,Female,10365
Manipur,Under Graduate,Total,20626
Manipur,PG Diploma,Male,43
Manipur,PG Diploma,Female,78
Manipur,PG Diploma,Total,121
Manipur,Diploma,Male,149
Manipur,Diploma,Female,231
Manipur,Diploma,Total,380
Manipur,Certificate,Male,0
Manipur,Certificate,Female,0
Manipur,Certificate,Total,0
Manipur,Integrated,Male,0
Manipur,Integrated,Female,0
Manipur,Integrated,Total,0
Meghalaya,Ph.D.,Male,70
Meghalaya,Ph.D.,Female,58
Meghalaya,Ph.D.,Total,128
Meghalaya,M.Phil.,Male,0
Meghalaya,M.Phil.,Female,0
Meghalaya,M.Phil.,Total,0
Meghalaya,Post Graduate,Male,1615
Meghalaya,Post Graduate,Female,2213
Meghalaya,Post Graduate,Total,3828
Meghalaya,Under Graduate,Male,7203
Meghalaya,Under Graduate,Female,9738
Meghalaya,Under Graduate,Total,16941
Meghalaya,PG Diploma,Male,44
Meghalaya,PG Diploma,Female,43
Meghalaya,PG Diploma,Total,87
Meghalaya,Diploma,Male,58
Meghalaya,Diploma,Female,34
Meghalaya,Diploma,Total,92
Meghalaya,Certificate,Male,7
Meghalaya,Certificate,Female,7
Meghalaya,Certificate,Total,14
Meghalaya,Integrated,Male,0
Meghalaya,Integrated,Female,0
Meghalaya,Integrated,Total,0
Mizoram,Ph.D.,Male,46
Mizoram,Ph.D.,Female,29
Mizoram,Ph.D.,Total,75
Mizoram,M.Phil.,Male,0
Mizoram,M.Phil.,Female,0
Mizoram,M.Phil.,Total,0
Mizoram,Post Graduate,Male,526
Mizoram,Post Graduate,Female,621
Mizoram,Post Graduate,Total,1147
Mizoram,Under Graduate,Male,2248
Mizoram,Under Graduate,Female,2298
Mizoram,Under Graduate,Total,4546
Mizoram,PG Diploma,Male,0
Mizoram,PG Diploma,Female,0
Mizoram,PG Diploma,Total,0
Mizoram,Diploma,Male,220
Mizoram,Diploma,Female,319
Mizoram,Diploma,Total,539
Mizoram,Certificate,Male,0
Mizoram,Certificate,Female,0
Mizoram,Certificate,Total,0
Mizoram,Integrated,Male,9
Mizoram,Integrated,Female,10
Mizoram,Integrated,Total,19
Nagaland,Ph.D.,Male,41
Nagaland,Ph.D.,Female,36
Nagaland,Ph.D.,Total,77
Nagaland,M.Phil.,Male,4
Nagaland,M.Phil.,Female,13
Nagaland,M.Phil.,Total,17
Nagaland,Post Graduate,Male,877
Nagaland,Post Graduate,Female,1126
Nagaland,Post Graduate,Total,2003
Nagaland,Under Graduate,Male,4900
Nagaland,Under Graduate,Female,5564
Nagaland,Under Graduate,Total,10464
Nagaland,PG Diploma,Male,0
Nagaland,PG Diploma,Female,0
Nagaland,PG Diploma,Total,0
Nagaland,Diploma,Male,251
Nagaland,Diploma,Female,492
Nagaland,Diploma,Total,743
Nagaland,Certificate,Male,249
Nagaland,Certificate,Female,211
Nagaland,Certificate,Total,460
Nagaland,Integrated,Male,0
Nagaland,Integrated,Female,0
Nagaland,Integrated,Total,0
Odisha,Ph.D.,Male,562
Odisha,Ph.D.,Female,313
Odisha,Ph.D.,Total,875
Odisha,M.Phil.,Male,235
Odisha,M.Phil.,Female,268
Odisha,M.Phil.,Total,503
Odisha,Post Graduate,Male,14733
Odisha,Post Graduate,Female,15436
Odisha,Post Graduate,Total,30169
Odisha,Under Graduate,Male,87912
Odisha,Under Graduate,Female,86402
Odisha,Under Graduate,Total,174314
Odisha,PG Diploma,Male,615
Odisha,PG Diploma,Female,410
Odisha,PG Diploma,Total,1025
Odisha,Diploma,Male,22121
Odisha,Diploma,Female,12155
Odisha,Diploma,Total,34276
Odisha,Certificate,Male,79
Odisha,Certificate,Female,66
Odisha,Certificate,Total,145
Odisha,Integrated,Male,852
Odisha,Integrated,Female,911
Odisha,Integrated,Total,1763
Puducherry,Ph.D.,Male,28
Puducherry,Ph.D.,Female,15
Puducherry,Ph.D.,Total,43
Puducherry,M.Phil.,Male,0
Puducherry,M.Phil.,Female,0
Puducherry,M.Phil.,Total,0
Puducherry,Post Graduate,Male,7456
Puducherry,Post Graduate,Female,8238
Puducherry,Post Graduate,Total,15694
Puducherry,Under Graduate,Male,5772
Puducherry,Under Graduate,Female,7387
Puducherry,Under Graduate,Total,13159
Puducherry,PG Diploma,Male,10
Puducherry,PG Diploma,Female,6
Puducherry,PG Diploma,Total,16
Puducherry,Diploma,Male,300
Puducherry,Diploma,Female,110
Puducherry,Diploma,Total,410
Puducherry,Certificate,Male,2
Puducherry,Certificate,Female,12
Puducherry,Certificate,Total,14
Puducherry,Integrated,Male,103
Puducherry,Integrated,Female,163
Puducherry,Integrated,Total,266
Punjab,Ph.D.,Male,520
Punjab,Ph.D.,Female,506
Punjab,Ph.D.,Total,1026
Punjab,M.Phil.,Male,2
Punjab,M.Phil.,Female,10
Punjab,M.Phil.,Total,12
Punjab,Post Graduate,Male,15414
Punjab,Post Graduate,Female,27170
Punjab,Post Graduate,Total,42584
Punjab,Under Graduate,Male,72760
Punjab,Under Graduate,Female,86549
Punjab,Under Graduate,Total,159309
Punjab,PG Diploma,Male,1596
Punjab,PG Diploma,Female,2005
Punjab,PG Diploma,Total,3601
Punjab,Diploma,Male,14235
Punjab,Diploma,Female,13930
Punjab,Diploma,Total,28165
Punjab,Certificate,Male,271
Punjab,Certificate,Female,318
Punjab,Certificate,Total,589
Punjab,Integrated,Male,1264
Punjab,Integrated,Female,1440
Punjab,Integrated,Total,2704
Rajasthan,Ph.D.,Male,941
Rajasthan,Ph.D.,Female,944
Rajasthan,Ph.D.,Total,1885
Rajasthan,M.Phil.,Male,0
Rajasthan,M.Phil.,Female,33
Rajasthan,M.Phil.,Total,33
Rajasthan,Post Graduate,Male,46359
Rajasthan,Post Graduate,Female,62119
Rajasthan,Post Graduate,Total,108478
Rajasthan,Under Graduate,Male,271329
Rajasthan,Under Graduate,Female,270019
Rajasthan,Under Graduate,Total,541348
Rajasthan,PG Diploma,Male,2908
Rajasthan,PG Diploma,Female,1877
Rajasthan,PG Diploma,Total,4785
Rajasthan,Diploma,Male,19176
Rajasthan,Diploma,Female,10017
Rajasthan,Diploma,Total,29193
Rajasthan,Certificate,Male,872
Rajasthan,Certificate,Female,799
Rajasthan,Certificate,Total,1671
Rajasthan,Integrated,Male,10041
Rajasthan,Integrated,Female,9745
Rajasthan,Integrated,Total,19786
Sikkim,Ph.D.,Male,34
Sikkim,Ph.D.,Female,24
Sikkim,Ph.D.,Total,58
Sikkim,M.Phil.,Male,3
Sikkim,M.Phil.,Female,2
Sikkim,M.Phil.,Total,5
Sikkim,Post Graduate,Male,1810
Sikkim,Post Graduate,Female,1484
Sikkim,Post Graduate,Total,3294
Sikkim,Under Graduate,Male,2698
Sikkim,Under Graduate,Female,2610
Sikkim,Under Graduate,Total,5308
Sikkim,PG Diploma,Male,0
Sikkim,PG Diploma,Female,0
Sikkim,PG Diploma,Total,0
Sikkim,Diploma,Male,115
Sikkim,Diploma,Female,142
Sikkim,Diploma,Total,257
Sikkim,Certificate,Male,42
Sikkim,Certificate,Female,0
Sikkim,Certificate,Total,42
Sikkim,Integrated,Male,18
Sikkim,Integrated,Female,37
Sikkim,Integrated,Total,55
Tamil Nadu,Ph.D.,Male,1466
Tamil Nadu,Ph.D.,Female,1388
Tamil Nadu,Ph.D.,Total,2854
Tamil Nadu,M.Phil.,Male,809
Tamil Nadu,M.Phil.,Female,2283
Tamil Nadu,M.Phil.,Total,3092
Tamil Nadu,Post Graduate,Male,74270
Tamil Nadu,Post Graduate,Female,111930
Tamil Nadu,Post Graduate,Total,186200
Tamil Nadu,Under Graduate,Male,322096
Tamil Nadu,Under Graduate,Female,390748
Tamil Nadu,Under Graduate,Total,712844
Tamil Nadu,PG Diploma,Male,3330
Tamil Nadu,PG Diploma,Female,3048
Tamil Nadu,PG Diploma,Total,6378
Tamil Nadu,Diploma,Male,30489
Tamil Nadu,Diploma,Female,31124
Tamil Nadu,Diploma,Total,61613
Tamil Nadu,Certificate,Male,1332
Tamil Nadu,Certificate,Female,3660
Tamil Nadu,Certificate,Total,4992
Tamil Nadu,Integrated,Male,2347
Tamil Nadu,Integrated,Female,2336
Tamil Nadu,Integrated,Total,4683
Telangana,Ph.D.,Male,610
Telangana,Ph.D.,Female,318
Telangana,Ph.D.,Total,928
Telangana,M.Phil.,Male,1
Telangana,M.Phil.,Female,10
Telangana,M.Phil.,Total,11
Telangana,Post Graduate,Male,28891
Telangana,Post Graduate,Female,34542
Telangana,Post Graduate,Total,63433
Telangana,Under Graduate,Male,113132
Telangana,Under Graduate,Female,141479
Telangana,Under Graduate,Total,254611
Telangana,PG Diploma,Male,680
Telangana,PG Diploma,Female,552
Telangana,PG Diploma,Total,1232
Telangana,Diploma,Male,20429
Telangana,Diploma,Female,12704
Telangana,Diploma,Total,33133
Telangana,Certificate,Male,1287
Telangana,Certificate,Female,597
Telangana,Certificate,Total,1884
Telangana,Integrated,Male,456
Telangana,Integrated,Female,356
Telangana,Integrated,Total,812
D & N Haveli and Daman & Diu,Ph.D.,Male,0
D & N Haveli and Daman & Diu,Ph.D.,Female,0
D & N Haveli and Daman & Diu,Ph.D.,Total,0
D & N Haveli and Daman & Diu,M.Phil.,Male,0
D & N Haveli and Daman & Diu,M.Phil.,Female,0
D & N Haveli and Daman & Diu,M.Phil.,Total,0
D & N Haveli and Daman & Diu,Post Graduate,Male,83
D & N Haveli and Daman & Diu,Post Graduate,Female,185
D & N Haveli and Daman & Diu,Post Graduate,Total,268
D & N Haveli and Daman & Diu,Under Graduate,Male,816
D & N Haveli and Daman & Diu,Under Graduate,Female,1098
D & N Haveli and Daman & Diu,Under Graduate,Total,1914
D & N Haveli and Daman & Diu,PG Diploma,Male,0
D & N Haveli and Daman & Diu,PG Diploma,Female,0
D & N Haveli and Daman & Diu,PG Diploma,Total,0
D & N Haveli and Daman & Diu,Diploma,Male,363
D & N Haveli and Daman & Diu,Diploma,Female,90
D & N Haveli and Daman & Diu,Diploma,Total,453
D & N Haveli and Daman & Diu,Certificate,Male,0
D & N Haveli and Daman & Diu,Certificate,Female,0
D & N Haveli and Daman & Diu,Certificate,Total,0
D & N Haveli and Daman & Diu,Integrated,Male,2
D & N Haveli and Daman & Diu,Integrated,Female,2
D & N Haveli and Daman & Diu,Integrated,Total,4
Tripura,Ph.D.,Male,32
Tripura,Ph.D.,Female,36
Tripura,Ph.D.,Total,68
Tripura,M.Phil.,Male,2
Tripura,M.Phil.,Female,5
Tripura,M.Phil.,Total,7
Tripura,Post Graduate,Male,1508
Tripura,Post Graduate,Female,1772
Tripura,Post Graduate,Total,3280
Tripura,Under Graduate,Male,9068
Tripura,Under Graduate,Female,9152
Tripura,Under Graduate,Total,18220
Tripura,PG Diploma,Male,22
Tripura,PG Diploma,Female,24
Tripura,PG Diploma,Total,46
Tripura,Diploma,Male,771
Tripura,Diploma,Female,526
Tripura,Diploma,Total,1297
Tripura,Certificate,Male,4
Tripura,Certificate,Female,6
Tripura,Certificate,Total,10
Tripura,Integrated,Male,180
Tripura,Integrated,Female,131
Tripura,Integrated,Total,311
Uttar Pradesh,Ph.D.,Male,2000
Uttar Pradesh,Ph.D.,Female,1353
Uttar Pradesh,Ph.D.,Total,3353
Uttar Pradesh,M.Phil.,Male,9
Uttar Pradesh,M.Phil.,Female,37
Uttar Pradesh,M.Phil.,Total,46
Uttar Pradesh,Post Graduate,Male,115474
Uttar Pradesh,Post Graduate,Female,138437
Uttar Pradesh,Post Graduate,Total,253911
Uttar Pradesh,Under Graduate,Male,640027
Uttar Pradesh,Under Graduate,Female,635409
Uttar Pradesh,Under Graduate,Total,1275436
Uttar Pradesh,PG Diploma,Male,4255
Uttar Pradesh,PG Diploma,Female,2520
Uttar Pradesh,PG Diploma,Total,6775
Uttar Pradesh,Diploma,Male,61144
Uttar Pradesh,Diploma,Female,24865
Uttar Pradesh,Diploma,Total,86009
Uttar Pradesh,Certificate,Male,1579
Uttar Pradesh,Certificate,Female,1260
Uttar Pradesh,Certificate,Total,2839
Uttar Pradesh,Integrated,Male,5404
Uttar Pradesh,Integrated,Female,3253
Uttar Pradesh,Integrated,Total,8657
Uttarakhand,Ph.D.,Male,439
Uttarakhand,Ph.D.,Female,229
Uttarakhand,Ph.D.,Total,668
Uttarakhand,M.Phil.,Male,0
Uttarakhand,M.Phil.,Female,0
Uttarakhand,M.Phil.,Total,0
Uttarakhand,Post Graduate,Male,13882
Uttarakhand,Post Graduate,Female,17620
Uttarakhand,Post Graduate,Total,31502
Uttarakhand,Under Graduate,Male,36440
Uttarakhand,Under Graduate,Female,41176
Uttarakhand,Under Graduate,Total,77616
Uttarakhand,PG Diploma,Male,914
Uttarakhand,PG Diploma,Female,636
Uttarakhand,PG Diploma,Total,1550
Uttarakhand,Diploma,Male,9208
Uttarakhand,Diploma,Female,3463
Uttarakhand,Diploma,Total,12671
Uttarakhand,Certificate,Male,37
Uttarakhand,Certificate,Female,29
Uttarakhand,Certificate,Total,66
Uttarakhand,Integrated,Male,321
Uttarakhand,Integrated,Female,194
Uttarakhand,Integrated,Total,515
West Bengal,Ph.D.,Male,1116
West Bengal,Ph.D.,Female,668
West Bengal,Ph.D.,Total,1784
West Bengal,M.Phil.,Male,157
West Bengal,M.Phil.,Female,193
West Bengal,M.Phil.,Total,350
West Bengal,Post Graduate,Male,28892
West Bengal,Post Graduate,Female,44287
West Bengal,Post Graduate,Total,73179
West Bengal,Under Graduate,Male,192894
West Bengal,Under Graduate,Female,217293
West Bengal,Under Graduate,Total,410187
West Bengal,PG Diploma,Male,2736
West Bengal,PG Diploma,Female,1733
West Bengal,PG Diploma,Total,4469
West Bengal,Diploma,Male,38131
West Bengal,Diploma,Female,29797
West Bengal,Diploma,Total,67928
West Bengal,Certificate,Male,2178
West Bengal,Certificate,Female,1470
West Bengal,Certificate,Total,3648
West Bengal,Integrated,Male,1239
West Bengal,Integrated,Female,1127
West Bengal,Integrated,Total,2366
