target_year,metric,discipline,gender,value_estimate,method,slope_per_year,base_year,base_year_value,years_extrapolated,growth_pct_total
2024-25,enrolment,Women Studies,Male,0,linear fit on 3 years (2019-22),-24.0,2021-22,0,3,0
2025-26,enrolment,Women Studies,Male,0,linear fit on 3 years (2019-22),-24.0,2021-22,0,4,0
2024-25,enrolment,Women Studies,Total,0,linear fit on 3 years (2019-22),-1848.0,2021-22,1030,3,-100.0
2025-26,enrolment,Women Studies,Total,0,linear fit on 3 years (2019-22),-1848.0,2021-22,1030,4,-100.0
2024-25,out_turn,Agriculture,Female,23594,linear fit on 3 years (2019-22),1721.0,2021-22,19092,3,23.6
2025-26,out_turn,Agriculture,Female,25315,linear fit on 3 years (2019-22),1721.0,2021-22,19092,4,32.6
2024-25,out_turn,Agriculture,Male,58611,linear fit on 3 years (2019-22),4859.0,2021-22,44516,3,31.7
2025-26,out_turn,Agriculture,Male,63470,linear fit on 3 years (2019-22),4859.0,2021-22,44516,4,42.6
2024-25,out_turn,Agriculture,Total,82205,linear fit on 3 years (2019-22),6580.0,2021-22,63608,3,29.2
2025-26,out_turn,Agriculture,Total,88785,linear fit on 3 years (2019-22),6580.0,2021-22,63608,4,39.6
2024-25,out_turn,Area Studies,Female,0,linear fit on 3 years (2019-22),-1474.5,2021-22,4358,3,-100.0
2025-26,out_turn,Area Studies,Female,0,linear fit on 3 years (2019-22),-1474.5,2021-22,4358,4,-100.0
2024-25,out_turn,Area Studies,Male,0,linear fit on 3 years (2019-22),-1982.0,2021-22,3713,3,-100.0
2025-26,out_turn,Area Studies,Male,0,linear fit on 3 years (2019-22),-1982.0,2021-22,3713,4,-100.0
2024-25,out_turn,Area Studies,Total,0,linear fit on 3 years (2019-22),-3456.5,2021-22,8071,3,-100.0
2025-26,out_turn,Area Studies,Total,0,linear fit on 3 years (2019-22),-3456.5,2021-22,8071,4,-100.0
2024-25,out_turn,Arts,Female,1493331,linear fit on 3 years (2019-22),73304.0,2021-22,1305493,3,14.4
2025-26,out_turn,Arts,Female,1566635,linear fit on 3 years (2019-22),73304.0,2021-22,1305493,4,20.0
2024-25,out_turn,Arts,Male,1445261,linear fit on 3 years (2019-22),120634.0,2021-22,1110637,3,30.1
2025-26,out_turn,Arts,Male,1565895,linear fit on 3 years (2019-22),120634.0,2021-22,1110637,4,41.0
2024-25,out_turn,Arts,Total,2938592,linear fit on 3 years (2019-22),193938.0,2021-22,2416130,3,21.6
2025-26,out_turn,Arts,Total,3132530,linear fit on 3 years (2019-22),193938.0,2021-22,2416130,4,29.7
2024-25,out_turn,Commerce,Female,659860,linear fit on 3 years (2019-22),31990.5,2021-22,567971,3,16.2
2025-26,out_turn,Commerce,Female,691851,linear fit on 3 years (2019-22),31990.5,2021-22,567971,4,21.8
2024-25,out_turn,Commerce,Male,754857,linear fit on 3 years (2019-22),64814.5,2021-22,559773,3,34.9
2025-26,out_turn,Commerce,Male,819671,linear fit on 3 years (2019-22),64814.5,2021-22,559773,4,46.4
2024-25,out_turn,Commerce,Total,1414717,linear fit on 3 years (2019-22),96805.0,2021-22,1127744,3,25.4
2025-26,out_turn,Commerce,Total,1511522,linear fit on 3 years (2019-22),96805.0,2021-22,1127744,4,34.0
2024-25,out_turn,Criminology & Forensic Science,Female,180,linear fit on 3 years (2019-22),10.0,2021-22,186,3,-3.4
2025-26,out_turn,Criminology & Forensic Science,Female,190,linear fit on 3 years (2019-22),10.0,2021-22,186,4,2.0
2024-25,out_turn,Criminology & Forensic Science,Male,226,linear fit on 3 years (2019-22),32.5,2021-22,161,3,40.6
2025-26,out_turn,Criminology & Forensic Science,Male,259,linear fit on 3 years (2019-22),32.5,2021-22,161,4,60.8
2024-25,out_turn,Criminology & Forensic Science,Total,406,linear fit on 3 years (2019-22),42.5,2021-22,347,3,17.0
2025-26,out_turn,Criminology & Forensic Science,Total,448,linear fit on 3 years (2019-22),42.5,2021-22,347,4,29.3
2024-25,out_turn,Cultural Studies,Female,0,linear fit on 3 years (2019-22),-246.0,2021-22,768,3,-100.0
2025-26,out_turn,Cultural Studies,Female,0,linear fit on 3 years (2019-22),-246.0,2021-22,768,4,-100.0
2024-25,out_turn,Cultural Studies,Male,11,linear fit on 3 years (2019-22),-162.5,2021-22,599,3,-98.1
2025-26,out_turn,Cultural Studies,Male,0,linear fit on 3 years (2019-22),-162.5,2021-22,599,4,-100.0
2024-25,out_turn,Cultural Studies,Total,0,linear fit on 3 years (2019-22),-408.5,2021-22,1367,3,-100.0
2025-26,out_turn,Cultural Studies,Total,0,linear fit on 3 years (2019-22),-408.5,2021-22,1367,4,-100.0
2024-25,out_turn,Defence Studies,Female,178,linear fit on 3 years (2019-22),23.5,2021-22,67,3,166.2
2025-26,out_turn,Defence Studies,Female,202,linear fit on 3 years (2019-22),23.5,2021-22,67,4,201.2
2024-25,out_turn,Defence Studies,Male,172,linear fit on 3 years (2019-22),23.0,2021-22,81,3,112.3
2025-26,out_turn,Defence Studies,Male,195,linear fit on 3 years (2019-22),23.0,2021-22,81,4,140.7
2024-25,out_turn,Defence Studies,Total,350,linear fit on 3 years (2019-22),46.5,2021-22,148,3,136.7
2025-26,out_turn,Defence Studies,Total,397,linear fit on 3 years (2019-22),46.5,2021-22,148,4,168.1
2024-25,out_turn,Design,Female,9243,linear fit on 3 years (2019-22),1250.5,2021-22,5359,3,72.5
2025-26,out_turn,Design,Female,10494,linear fit on 3 years (2019-22),1250.5,2021-22,5359,4,95.8
2024-25,out_turn,Design,Male,4634,linear fit on 3 years (2019-22),715.0,2021-22,2488,3,86.3
2025-26,out_turn,Design,Male,5349,linear fit on 3 years (2019-22),715.0,2021-22,2488,4,115.0
2024-25,out_turn,Design,Total,13877,linear fit on 3 years (2019-22),1965.5,2021-22,7847,3,76.8
2025-26,out_turn,Design,Total,15842,linear fit on 3 years (2019-22),1965.5,2021-22,7847,4,101.9
2024-25,out_turn,Education,Female,468947,linear fit on 3 years (2019-22),6967.0,2021-22,456007,3,2.8
2025-26,out_turn,Education,Female,475914,linear fit on 3 years (2019-22),6967.0,2021-22,456007,4,4.4
2024-25,out_turn,Education,Male,309997,linear fit on 3 years (2019-22),20419.0,2021-22,247742,3,25.1
2025-26,out_turn,Education,Male,330416,linear fit on 3 years (2019-22),20419.0,2021-22,247742,4,33.4
2024-25,out_turn,Education,Total,778944,linear fit on 3 years (2019-22),27386.0,2021-22,703749,3,10.7
2025-26,out_turn,Education,Total,806330,linear fit on 3 years (2019-22),27386.0,2021-22,703749,4,14.6
2024-25,out_turn,Engineering & Technology,Female,214813,linear fit on 3 years (2019-22),-8640.5,2021-22,241773,3,-11.2
2025-26,out_turn,Engineering & Technology,Female,206172,linear fit on 3 years (2019-22),-8640.5,2021-22,241773,4,-14.7
2024-25,out_turn,Engineering & Technology,Male,630142,linear fit on 3 years (2019-22),13389.5,2021-22,587854,3,7.2
2025-26,out_turn,Engineering & Technology,Male,643531,linear fit on 3 years (2019-22),13389.5,2021-22,587854,4,9.5
2024-25,out_turn,Engineering & Technology,Total,844955,linear fit on 3 years (2019-22),4749.0,2021-22,829627,3,1.8
2025-26,out_turn,Engineering & Technology,Total,849704,linear fit on 3 years (2019-22),4749.0,2021-22,829627,4,2.4
2024-25,out_turn,Fashion Technology,Female,5033,linear fit on 3 years (2019-22),249.5,2021-22,4568,3,10.2
2025-26,out_turn,Fashion Technology,Female,5283,linear fit on 3 years (2019-22),249.5,2021-22,4568,4,15.6
2024-25,out_turn,Fashion Technology,Male,2221,linear fit on 3 years (2019-22),285.0,2021-22,1456,3,52.5
2025-26,out_turn,Fashion Technology,Male,2506,linear fit on 3 years (2019-22),285.0,2021-22,1456,4,72.1
2024-25,out_turn,Fashion Technology,Total,7254,linear fit on 3 years (2019-22),534.5,2021-22,6024,3,20.4
2025-26,out_turn,Fashion Technology,Total,7789,linear fit on 3 years (2019-22),534.5,2021-22,6024,4,29.3
2024-25,out_turn,Fine Arts,Female,5281,linear fit on 3 years (2019-22),-19.0,2021-22,5356,3,-1.4
2025-26,out_turn,Fine Arts,Female,5262,linear fit on 3 years (2019-22),-19.0,2021-22,5356,4,-1.7
2024-25,out_turn,Fine Arts,Male,4776,linear fit on 3 years (2019-22),5.0,2021-22,4829,3,-1.1
2025-26,out_turn,Fine Arts,Male,4781,linear fit on 3 years (2019-22),5.0,2021-22,4829,4,-1.0
2024-25,out_turn,Fine Arts,Total,10057,linear fit on 3 years (2019-22),-14.0,2021-22,10185,3,-1.3
2025-26,out_turn,Fine Arts,Total,10043,linear fit on 3 years (2019-22),-14.0,2021-22,10185,4,-1.4
2024-25,out_turn,Fisheries Science,Female,1044,linear fit on 3 years (2019-22),113.5,2021-22,623,3,67.5
2025-26,out_turn,Fisheries Science,Female,1157,linear fit on 3 years (2019-22),113.5,2021-22,623,4,85.7
2024-25,out_turn,Fisheries Science,Male,1000,linear fit on 3 years (2019-22),88.0,2021-22,682,3,46.6
2025-26,out_turn,Fisheries Science,Male,1088,linear fit on 3 years (2019-22),88.0,2021-22,682,4,59.5
2024-25,out_turn,Fisheries Science,Total,2044,linear fit on 3 years (2019-22),201.5,2021-22,1305,3,56.6
2025-26,out_turn,Fisheries Science,Total,2245,linear fit on 3 years (2019-22),201.5,2021-22,1305,4,72.0
2024-25,out_turn,Footwear  Design,Female,0,linear fit on 3 years (2019-22),-55.0,2021-22,39,3,-100.0
2025-26,out_turn,Footwear  Design,Female,0,linear fit on 3 years (2019-22),-55.0,2021-22,39,4,-100.0
2024-25,out_turn,Footwear  Design,Male,0,linear fit on 3 years (2019-22),-61.5,2021-22,48,3,-100.0
2025-26,out_turn,Footwear  Design,Male,0,linear fit on 3 years (2019-22),-61.5,2021-22,48,4,-100.0
2024-25,out_turn,Footwear  Design,Total,0,linear fit on 3 years (2019-22),-116.5,2021-22,87,3,-100.0
2025-26,out_turn,Footwear  Design,Total,0,linear fit on 3 years (2019-22),-116.5,2021-22,87,4,-100.0
2024-25,out_turn,Foreign Language,Female,39708,linear fit on 3 years (2019-22),4672.0,2021-22,26465,3,50.0
2025-26,out_turn,Foreign Language,Female,44380,linear fit on 3 years (2019-22),4672.0,2021-22,26465,4,67.7
2024-25,out_turn,Foreign Language,Male,30714,linear fit on 3 years (2019-22),3876.5,2021-22,19434,3,58.0
2025-26,out_turn,Foreign Language,Male,34590,linear fit on 3 years (2019-22),3876.5,2021-22,19434,4,78.0
2024-25,out_turn,Foreign Language,Total,70422,linear fit on 3 years (2019-22),8548.5,2021-22,45899,3,53.4
2025-26,out_turn,Foreign Language,Total,78970,linear fit on 3 years (2019-22),8548.5,2021-22,45899,4,72.1
2024-25,out_turn,Gandhian Studies,Female,291,linear fit on 3 years (2019-22),51.0,2021-22,176,3,65.3
2025-26,out_turn,Gandhian Studies,Female,342,linear fit on 3 years (2019-22),51.0,2021-22,176,4,94.3
2024-25,out_turn,Gandhian Studies,Male,80,linear fit on 3 years (2019-22),8.5,2021-22,27,3,195.1
2025-26,out_turn,Gandhian Studies,Male,88,linear fit on 3 years (2019-22),8.5,2021-22,27,4,226.5
2024-25,out_turn,Gandhian Studies,Total,371,linear fit on 3 years (2019-22),59.5,2021-22,203,3,82.6
2025-26,out_turn,Gandhian Studies,Total,430,linear fit on 3 years (2019-22),59.5,2021-22,203,4,111.9
2024-25,out_turn,Home Science,Female,20922,linear fit on 3 years (2019-22),1394.5,2021-22,17096,3,22.4
2025-26,out_turn,Home Science,Female,22316,linear fit on 3 years (2019-22),1394.5,2021-22,17096,4,30.5
2024-25,out_turn,Home Science,Male,115,linear fit on 3 years (2019-22),-417.5,2021-22,1396,3,-91.7
2025-26,out_turn,Home Science,Male,0,linear fit on 3 years (2019-22),-417.5,2021-22,1396,4,-100.0
2024-25,out_turn,Home Science,Total,21037,linear fit on 3 years (2019-22),977.0,2021-22,18492,3,13.8
2025-26,out_turn,Home Science,Total,22014,linear fit on 3 years (2019-22),977.0,2021-22,18492,4,19.0
2024-25,out_turn,Hospitality and Tourism,Female,3016,linear fit on 3 years (2019-22),501.0,2021-22,1580,3,90.9
2025-26,out_turn,Hospitality and Tourism,Female,3517,linear fit on 3 years (2019-22),501.0,2021-22,1580,4,122.6
2024-25,out_turn,Hospitality and Tourism,Male,11684,linear fit on 3 years (2019-22),1977.0,2021-22,5992,3,95.0
2025-26,out_turn,Hospitality and Tourism,Male,13661,linear fit on 3 years (2019-22),1977.0,2021-22,5992,4,128.0
2024-25,out_turn,Hospitality and Tourism,Total,14701,linear fit on 3 years (2019-22),2478.0,2021-22,7572,3,94.1
2025-26,out_turn,Hospitality and Tourism,Total,17179,linear fit on 3 years (2019-22),2478.0,2021-22,7572,4,126.9
2024-25,out_turn,IT & Computer,Female,144969,linear fit on 3 years (2019-22),12554.0,2021-22,108428,3,33.7
2025-26,out_turn,IT & Computer,Female,157523,linear fit on 3 years (2019-22),12554.0,2021-22,108428,4,45.3
2024-25,out_turn,IT & Computer,Male,242180,linear fit on 3 years (2019-22),30900.5,2021-22,149775,3,61.7
2025-26,out_turn,IT & Computer,Male,273080,linear fit on 3 years (2019-22),30900.5,2021-22,149775,4,82.3
2024-25,out_turn,IT & Computer,Total,387149,linear fit on 3 years (2019-22),43454.5,2021-22,258203,3,49.9
2025-26,out_turn,IT & Computer,Total,430604,linear fit on 3 years (2019-22),43454.5,2021-22,258203,4,66.8
2024-25,out_turn,Indian Language,Female,57997,linear fit on 3 years (2019-22),3140.5,2021-22,49516,3,17.1
2025-26,out_turn,Indian Language,Female,61137,linear fit on 3 years (2019-22),3140.5,2021-22,49516,4,23.5
2024-25,out_turn,Indian Language,Male,32096,linear fit on 3 years (2019-22),2088.0,2021-22,26362,3,21.8
2025-26,out_turn,Indian Language,Male,34184,linear fit on 3 years (2019-22),2088.0,2021-22,26362,4,29.7
2024-25,out_turn,Indian Language,Total,90093,linear fit on 3 years (2019-22),5228.5,2021-22,75878,3,18.7
2025-26,out_turn,Indian Language,Total,95322,linear fit on 3 years (2019-22),5228.5,2021-22,75878,4,25.6
2024-25,out_turn,Journalism & Mass Communication,Female,7560,linear fit on 3 years (2019-22),856.0,2021-22,5014,3,50.8
2025-26,out_turn,Journalism & Mass Communication,Female,8416,linear fit on 3 years (2019-22),856.0,2021-22,5014,4,67.8
2024-25,out_turn,Journalism & Mass Communication,Male,7095,linear fit on 3 years (2019-22),742.5,2021-22,4825,3,47.0
2025-26,out_turn,Journalism & Mass Communication,Male,7837,linear fit on 3 years (2019-22),742.5,2021-22,4825,4,62.4
2024-25,out_turn,Journalism & Mass Communication,Total,14654,linear fit on 3 years (2019-22),1598.5,2021-22,9839,3,48.9
2025-26,out_turn,Journalism & Mass Communication,Total,16253,linear fit on 3 years (2019-22),1598.5,2021-22,9839,4,65.2
2024-25,out_turn,Law,Female,46336,linear fit on 3 years (2019-22),3743.0,2021-22,35738,3,29.7
2025-26,out_turn,Law,Female,50079,linear fit on 3 years (2019-22),3743.0,2021-22,35738,4,40.1
2024-25,out_turn,Law,Male,96230,linear fit on 3 years (2019-22),8315.0,2021-22,72207,3,33.3
2025-26,out_turn,Law,Male,104545,linear fit on 3 years (2019-22),8315.0,2021-22,72207,4,44.8
2024-25,out_turn,Law,Total,142566,linear fit on 3 years (2019-22),12058.0,2021-22,107945,3,32.1
2025-26,out_turn,Law,Total,154624,linear fit on 3 years (2019-22),12058.0,2021-22,107945,4,43.2
2024-25,out_turn,Library & Information Science,Female,11158,linear fit on 3 years (2019-22),90.5,2021-22,10961,3,1.8
2025-26,out_turn,Library & Information Science,Female,11248,linear fit on 3 years (2019-22),90.5,2021-22,10961,4,2.6
2024-25,out_turn,Library & Information Science,Male,13600,linear fit on 3 years (2019-22),811.5,2021-22,11154,3,21.9
2025-26,out_turn,Library & Information Science,Male,14412,linear fit on 3 years (2019-22),811.5,2021-22,11154,4,29.2
2024-25,out_turn,Library & Information Science,Total,24758,linear fit on 3 years (2019-22),902.0,2021-22,22115,3,11.9
2025-26,out_turn,Library & Information Science,Total,25660,linear fit on 3 years (2019-22),902.0,2021-22,22115,4,16.0
2024-25,out_turn,Linguistics,Female,802,linear fit on 3 years (2019-22),-421.0,2021-22,2320,3,-65.4
2025-26,out_turn,Linguistics,Female,381,linear fit on 3 years (2019-22),-421.0,2021-22,2320,4,-83.6
2024-25,out_turn,Linguistics,Male,2079,linear fit on 3 years (2019-22),214.5,2021-22,1617,3,28.6
2025-26,out_turn,Linguistics,Male,2294,linear fit on 3 years (2019-22),214.5,2021-22,1617,4,41.8
2024-25,out_turn,Linguistics,Total,2881,linear fit on 3 years (2019-22),-206.5,2021-22,3937,3,-26.8
2025-26,out_turn,Linguistics,Total,2674,linear fit on 3 years (2019-22),-206.5,2021-22,3937,4,-32.1
2024-25,out_turn,Management,Female,112801,linear fit on 3 years (2019-22),10074.0,2021-22,82799,3,36.2
2025-26,out_turn,Management,Female,122875,linear fit on 3 years (2019-22),10074.0,2021-22,82799,4,48.4
2024-25,out_turn,Management,Male,190730,linear fit on 3 years (2019-22),21108.5,2021-22,126242,3,51.1
2025-26,out_turn,Management,Male,211839,linear fit on 3 years (2019-22),21108.5,2021-22,126242,4,67.8
2024-25,out_turn,Management,Total,303531,linear fit on 3 years (2019-22),31182.5,2021-22,209041,3,45.2
2025-26,out_turn,Management,Total,334714,linear fit on 3 years (2019-22),31182.5,2021-22,209041,4,60.1
2024-25,out_turn,Marine Science / Oceanography,Female,137,linear fit on 3 years (2019-22),25.0,2021-22,68,3,101.0
2025-26,out_turn,Marine Science / Oceanography,Female,162,linear fit on 3 years (2019-22),25.0,2021-22,68,4,137.7
2024-25,out_turn,Marine Science / Oceanography,Male,301,linear fit on 3 years (2019-22),-8.0,2021-22,318,3,-5.5
2025-26,out_turn,Marine Science / Oceanography,Male,293,linear fit on 3 years (2019-22),-8.0,2021-22,318,4,-8.0
2024-25,out_turn,Marine Science / Oceanography,Total,437,linear fit on 3 years (2019-22),17.0,2021-22,386,3,13.3
2025-26,out_turn,Marine Science / Oceanography,Total,454,linear fit on 3 years (2019-22),17.0,2021-22,386,4,17.7
2024-25,out_turn,Medical Science,Female,211837,linear fit on 3 years (2019-22),11205.5,2021-22,181921,3,16.4
2025-26,out_turn,Medical Science,Female,223042,linear fit on 3 years (2019-22),11205.5,2021-22,181921,4,22.6
2024-25,out_turn,Medical Science,Male,159015,linear fit on 3 years (2019-22),16243.0,2021-22,111607,3,42.5
2025-26,out_turn,Medical Science,Male,175258,linear fit on 3 years (2019-22),16243.0,2021-22,111607,4,57.0
2024-25,out_turn,Medical Science,Total,370852,linear fit on 3 years (2019-22),27448.5,2021-22,293528,3,26.3
2025-26,out_turn,Medical Science,Total,398300,linear fit on 3 years (2019-22),27448.5,2021-22,293528,4,35.7
2024-25,out_turn,Oriental Learning,Female,2311,linear fit on 3 years (2019-22),-1854.0,2021-22,8092,3,-71.4
2025-26,out_turn,Oriental Learning,Female,457,linear fit on 3 years (2019-22),-1854.0,2021-22,8092,4,-94.3
2024-25,out_turn,Oriental Learning,Male,5581,linear fit on 3 years (2019-22),-1551.0,2021-22,10672,3,-47.7
2025-26,out_turn,Oriental Learning,Male,4030,linear fit on 3 years (2019-22),-1551.0,2021-22,10672,4,-62.2
2024-25,out_turn,Oriental Learning,Total,7893,linear fit on 3 years (2019-22),-3405.0,2021-22,18764,3,-57.9
2025-26,out_turn,Oriental Learning,Total,4488,linear fit on 3 years (2019-22),-3405.0,2021-22,18764,4,-76.1
2024-25,out_turn,Paramedical Science,Female,7267,linear fit on 3 years (2019-22),1185.0,2021-22,3553,3,104.5
2025-26,out_turn,Paramedical Science,Female,8452,linear fit on 3 years (2019-22),1185.0,2021-22,3553,4,137.9
2024-25,out_turn,Paramedical Science,Male,9834,linear fit on 3 years (2019-22),1775.0,2021-22,4399,3,123.6
2025-26,out_turn,Paramedical Science,Male,11609,linear fit on 3 years (2019-22),1775.0,2021-22,4399,4,163.9
2024-25,out_turn,Paramedical Science,Total,17101,linear fit on 3 years (2019-22),2960.0,2021-22,7952,3,115.1
2025-26,out_turn,Paramedical Science,Total,20061,linear fit on 3 years (2019-22),2960.0,2021-22,7952,4,152.3
2024-25,out_turn,Physical Education,Female,9428,linear fit on 3 years (2019-22),646.0,2021-22,7672,3,22.9
2025-26,out_turn,Physical Education,Female,10074,linear fit on 3 years (2019-22),646.0,2021-22,7672,4,31.3
2024-25,out_turn,Physical Education,Male,22451,linear fit on 3 years (2019-22),1836.0,2021-22,17534,3,28.0
2025-26,out_turn,Physical Education,Male,24287,linear fit on 3 years (2019-22),1836.0,2021-22,17534,4,38.5
2024-25,out_turn,Physical Education,Total,31880,linear fit on 3 years (2019-22),2482.0,2021-22,25206,3,26.5
2025-26,out_turn,Physical Education,Total,34362,linear fit on 3 years (2019-22),2482.0,2021-22,25206,4,36.3
2024-25,out_turn,Religious Studies,Female,48,linear fit on 3 years (2019-22),-123.0,2021-22,364,3,-86.8
2025-26,out_turn,Religious Studies,Female,0,linear fit on 3 years (2019-22),-123.0,2021-22,364,4,-100.0
2024-25,out_turn,Religious Studies,Male,215,linear fit on 3 years (2019-22),-102.0,2021-22,509,3,-57.8
2025-26,out_turn,Religious Studies,Male,113,linear fit on 3 years (2019-22),-102.0,2021-22,509,4,-77.8
2024-25,out_turn,Religious Studies,Total,263,linear fit on 3 years (2019-22),-225.0,2021-22,873,3,-69.9
2025-26,out_turn,Religious Studies,Total,38,linear fit on 3 years (2019-22),-225.0,2021-22,873,4,-95.6
2024-25,out_turn,Science,Female,714194,linear fit on 3 years (2019-22),24945.0,2021-22,644317,3,10.8
2025-26,out_turn,Science,Female,739139,linear fit on 3 years (2019-22),24945.0,2021-22,644317,4,14.7
2024-25,out_turn,Science,Male,648219,linear fit on 3 years (2019-22),33409.5,2021-22,553016,3,17.2
2025-26,out_turn,Science,Male,681629,linear fit on 3 years (2019-22),33409.5,2021-22,553016,4,23.3
2024-25,out_turn,Science,Total,1362413,linear fit on 3 years (2019-22),58354.5,2021-22,1197333,3,13.8
2025-26,out_turn,Science,Total,1420768,linear fit on 3 years (2019-22),58354.5,2021-22,1197333,4,18.7
2024-25,out_turn,Social Science,Female,178452,linear fit on 3 years (2019-22),15266.5,2021-22,134117,3,33.1
2025-26,out_turn,Social Science,Female,193718,linear fit on 3 years (2019-22),15266.5,2021-22,134117,4,44.4
2024-25,out_turn,Social Science,Male,183606,linear fit on 3 years (2019-22),18342.5,2021-22,129857,3,41.4
2025-26,out_turn,Social Science,Male,201948,linear fit on 3 years (2019-22),18342.5,2021-22,129857,4,55.5
2024-25,out_turn,Social Science,Total,362057,linear fit on 3 years (2019-22),33609.0,2021-22,263974,3,37.2
2025-26,out_turn,Social Science,Total,395666,linear fit on 3 years (2019-22),33609.0,2021-22,263974,4,49.9
2024-25,out_turn,Social Work,Female,4265,linear fit on 3 years (2019-22),249.0,2021-22,3473,3,22.8
2025-26,out_turn,Social Work,Female,4514,linear fit on 3 years (2019-22),249.0,2021-22,3473,4,30.0
2024-25,out_turn,Social Work,Male,0,linear fit on 3 years (2019-22),-3870.0,2021-22,3222,3,-100.0
2025-26,out_turn,Social Work,Male,0,linear fit on 3 years (2019-22),-3870.0,2021-22,3222,4,-100.0
2024-25,out_turn,Social Work,Total,0,linear fit on 3 years (2019-22),-3621.0,2021-22,6695,3,-100.0
2025-26,out_turn,Social Work,Total,0,linear fit on 3 years (2019-22),-3621.0,2021-22,6695,4,-100.0
2024-25,out_turn,Veterinary & Animal Sciences,Female,2289,linear fit on 3 years (2019-22),211.5,2021-22,1670,3,37.1
2025-26,out_turn,Veterinary & Animal Sciences,Female,2501,linear fit on 3 years (2019-22),211.5,2021-22,1670,4,49.8
2024-25,out_turn,Veterinary & Animal Sciences,Male,2672,linear fit on 3 years (2019-22),139.0,2021-22,2094,3,27.6
2025-26,out_turn,Veterinary & Animal Sciences,Male,2811,linear fit on 3 years (2019-22),139.0,2021-22,2094,4,34.2
2024-25,out_turn,Veterinary & Animal Sciences,Total,4961,linear fit on 3 years (2019-22),350.5,2021-22,3764,3,31.8
2025-26,out_turn,Veterinary & Animal Sciences,Total,5312,linear fit on 3 years (2019-22),350.5,2021-22,3764,4,41.1
2024-25,out_turn,Women Studies,Female,0,linear fit on 3 years (2019-22),-472.5,2021-22,288,3,-100.0
2025-26,out_turn,Women Studies,Female,0,linear fit on 3 years (2019-22),-472.5,2021-22,288,4,-100.0
2024-25,out_turn,Women Studies,Male,0,linear fit on 3 years (2019-22),-4.0,2021-22,0,3,0
2025-26,out_turn,Women Studies,Male,0,linear fit on 3 years (2019-22),-4.0,2021-22,0,4,0
2024-25,out_turn,Women Studies,Total,0,linear fit on 3 years (2019-22),-476.5,2021-22,288,3,-100.0
2025-26,out_turn,Women Studies,Total,0,linear fit on 3 years (2019-22),-476.5,2021-22,288,4,-100.0
